time,pkg_pwr,ram_pwr
472,39.79,5.01
473,39.50,5.23
474,39.76,5.06
475,40.48,4.97
476,40.46,4.98
477,39.45,4.92
478,39.55,5.19
479,40.12,5.07
480,40.14,4.99
481,39.58,4.97
482,39.42,4.95
483,39.67,5.26
484,40.09,5.05
485,40.12,4.96
486,39.49,4.92
487,39.43,4.95
488,39.73,5.33
489,40.16,5.08
490,40.12,4.99
491,39.45,4.97
492,39.45,4.93
493,39.66,5.19
494,39.99,5.08
495,39.95,4.94
496,39.70,5.00
497,39.76,4.96
498,39.89,5.25
499,40.58,5.05
500,40.65,4.98
501,39.90,4.93
502,39.86,4.92
503,39.87,5.20
504,40.49,5.10
505,40.60,4.93
506,40.04,4.93
507,39.65,4.94
508,39.75,5.27
509,40.21,5.05
510,40.61,4.94
511,40.32,4.95
512,39.72,4.95
513,40.42,5.21
514,40.60,5.08
515,40.14,4.96
516,39.61,4.96
517,40.44,4.89
518,40.59,5.30
519,39.91,5.10
520,39.33,4.99
521,40.60,4.93
522,40.65,4.93
523,39.73,5.24
524,39.42,5.09
525,39.45,5.02
526,40.29,5.07
527,40.63,4.98
528,40.31,5.25
529,39.82,5.02
530,40.08,4.99
531,40.23,4.92
532,39.79,4.97
533,39.35,5.24
534,40.44,5.12
535,40.56,4.96
536,39.77,4.95
537,39.42,4.92
538,40.56,5.21
539,40.59,5.09
540,40.00,4.98
541,39.81,4.95
542,39.98,4.99
543,40.48,5.23
544,40.49,5.08
545,39.69,4.99
546,39.76,4.94
547,40.01,5.00
548,40.35,5.28
549,40.33,5.15
550,40.44,5.18
551,40.51,5.00
552,40.27,5.08
553,40.17,5.34
554,40.29,5.22
555,40.34,5.06
556,40.28,5.01
557,40.18,4.96
558,40.23,5.32
559,40.06,5.24
560,40.09,5.05
561,40.22,5.09
562,40.25,4.99
563,40.32,5.45
564,40.24,5.10
565,40.17,4.98
566,40.23,5.03
567,40.19,4.96
568,40.24,5.37
569,40.25,5.18
570,40.25,5.06
571,40.24,5.00
572,40.27,5.10
573,40.37,5.40
574,40.39,5.15
575,40.10,5.04
576,40.04,4.97
577,40.25,5.03
578,40.31,5.35
579,40.25,5.17
580,40.07,5.02
581,40.08,4.98
582,40.08,5.04
583,40.17,5.34
584,40.13,5.22
585,40.18,5.01
586,40.20,5.12
587,40.13,5.01
588,40.15,5.41
589,40.07,5.08
590,40.15,5.02
591,40.11,5.00
592,40.09,5.04
593,40.16,5.49
594,40.14,5.15
595,40.14,5.13
596,40.21,5.09
597,40.17,5.04
598,40.44,5.43
599,40.45,5.18
600,40.27,5.14
601,40.22,5.02
602,40.22,5.01
603,40.31,5.43
604,40.22,5.13
605,40.54,5.08
606,40.52,4.99
607,40.28,5.34
608,40.16,5.39
609,40.32,5.31
610,40.35,5.05
611,40.24,5.07
612,40.02,5.06
613,40.01,5.29
614,40.25,5.29
615,40.26,5.03
616,40.15,5.03
617,40.05,5.02
618,40.13,5.50
619,40.26,5.14
