time,pkg_pwr,ram_pwr
597,40.11,6.77
598,39.86,6.41
599,39.92,6.42
600,40.13,6.80
601,39.91,6.43
602,39.82,6.38
603,40.02,6.79
604,39.91,6.38
605,39.90,6.39
606,40.14,6.82
607,40.00,6.40
608,39.86,6.29
609,40.13,6.88
610,39.88,6.46
611,39.82,6.28
612,40.06,6.75
613,39.82,6.37
614,39.87,6.27
615,40.14,6.94
616,39.86,6.40
617,39.79,6.31
618,40.12,6.92
619,39.84,6.38
620,39.84,6.32
621,40.09,6.90
622,39.85,6.36
623,39.79,6.14
624,40.15,6.93
625,39.91,6.49
626,39.79,6.27
627,40.16,6.91
628,39.89,6.38
629,39.89,6.39
630,40.05,6.78
631,39.90,6.46
632,39.88,6.35
633,40.09,6.74
634,39.84,6.42
635,39.89,6.42
636,39.53,5.50
637,40.10,6.82
638,39.92,6.39
639,39.94,6.35
640,40.21,6.95
641,39.82,6.39
642,39.90,6.39
643,40.07,6.65
644,39.87,6.37
645,39.94,6.47
646,39.52,5.50
647,39.99,6.32
648,39.97,6.44
649,39.95,6.41
650,39.93,6.27
651,40.13,6.70
652,39.95,6.41
653,39.66,5.98
654,40.08,6.83
655,39.87,6.47
656,39.89,6.38
657,40.13,6.80
658,39.93,6.40
659,39.95,6.38
660,40.14,6.86
661,39.83,6.47
662,39.89,6.41
663,39.99,6.62
664,39.95,6.50
665,39.94,6.45
666,39.67,6.10
667,40.22,7.09
668,39.83,6.41
669,37.20,6.42
670,37.40,7.02
671,40.09,6.75
672,31.07,5.97
673,39.52,7.00
674,39.96,6.50
675,39.94,6.45
676,40.04,6.63
677,39.89,6.53
678,39.81,6.50
679,39.89,6.36
680,40.07,6.80
681,39.89,6.43
682,39.91,6.37
683,40.28,6.96
684,39.95,6.35
685,39.97,6.46
686,39.42,5.28
687,40.13,6.76
688,39.93,6.41
689,39.86,6.35
690,40.13,6.77
691,39.94,6.41
692,39.88,6.39
693,40.00,6.51
694,40.04,6.68
695,39.95,6.49
696,39.91,6.35
697,40.14,6.88
698,39.92,6.41
699,39.84,6.31
700,40.05,6.77
701,39.93,6.54
702,39.91,6.39
703,39.99,6.49
704,40.13,6.74
705,39.95,6.48
706,39.88,6.28
707,39.84,6.11
708,40.07,6.66
709,39.96,6.50
710,39.88,6.35
711,40.16,6.89
712,39.90,6.39
713,39.92,6.36
714,40.16,6.84
715,39.99,6.63
716,39.95,6.47
717,39.83,6.24
718,40.24,6.93
719,39.92,6.43
720,39.95,6.49
721,40.22,6.88
722,39.95,6.50
723,39.93,6.39
724,39.87,6.32
725,40.19,6.93
726,39.95,6.46
727,39.97,6.49
728,40.12,6.72
729,39.97,6.48
730,39.91,6.53
731,39.82,6.31
732,40.27,6.94
733,40.02,6.40
734,40.00,6.39
735,39.97,6.58
736,39.97,6.60
737,39.89,6.41
738,39.87,6.30
739,40.20,6.86
740,39.97,6.51
741,39.96,6.40
742,39.94,6.43
743,40.07,6.77
744,39.89,6.44
745,39.89,6.51
746,39.43,5.43
747,40.18,6.88
748,39.87,6.33
749,39.89,6.43
750,39.93,6.54
751,40.01,6.74
752,39.88,6.40
753,39.83,6.44
754,40.08,6.83
755,39.94,6.62
756,39.90,6.41
757,39.86,6.30
758,40.22,6.88
759,39.95,6.39
