time,pkg_pwr,ram_pwr
427,40.36,8.75
428,40.36,8.78
429,40.35,8.80
430,40.33,8.63
431,40.35,8.78
432,40.40,8.78
433,40.43,8.80
434,40.34,8.70
435,40.41,8.68
436,40.42,8.74
437,40.46,8.75
438,40.43,8.76
439,40.33,8.71
440,40.34,8.66
441,40.33,8.67
442,40.33,8.67
443,40.29,8.65
444,40.39,8.78
445,40.36,8.68
446,40.39,8.77
447,40.42,8.75
448,40.42,8.80
449,40.42,8.81
450,40.41,8.69
451,40.34,8.80
452,40.42,8.77
453,40.38,8.76
454,40.43,8.81
455,40.35,8.75
456,40.44,8.75
457,40.42,8.78
458,40.40,8.78
459,37.56,6.94
460,39.87,6.76
461,40.02,6.76
462,40.06,6.87
463,40.08,6.89
464,40.02,6.90
465,40.12,6.95
466,40.14,7.03
467,40.16,7.01
468,40.10,6.92
469,40.12,6.82
470,40.02,6.82
471,40.05,6.92
472,39.90,6.86
473,40.05,6.89
474,40.04,6.74
475,39.93,6.63
476,40.06,6.71
477,39.94,6.67
478,39.97,6.66
479,40.02,6.71
480,39.93,6.75
481,39.94,6.61
482,39.79,6.35
483,39.91,6.48
484,40.02,6.82
485,40.12,6.90
486,40.22,6.88
487,40.15,6.77
488,40.16,6.85
489,40.15,6.84
490,40.11,6.79
491,40.12,6.84
492,40.04,6.75
493,40.09,6.73
494,40.10,6.81
495,40.09,6.71
496,40.18,6.83
497,40.13,6.74
498,40.13,6.70
499,40.13,6.87
500,40.07,6.85
501,40.01,6.93
502,40.06,6.95
503,40.01,6.92
504,40.06,6.91
505,40.10,6.80
506,40.08,6.68
507,40.08,6.74
508,40.06,6.75
509,40.05,6.79
510,40.06,6.82
511,40.05,6.79
512,40.06,6.90
513,40.19,7.01
514,40.33,7.09
515,40.38,7.18
516,40.29,7.13
517,40.39,7.16
518,40.32,7.07
519,40.34,7.19
520,40.40,7.13
521,40.39,7.11
522,40.38,7.15
523,40.37,7.12
524,40.38,7.13
525,40.38,7.18
526,40.35,7.13
527,40.42,7.11
528,40.44,7.12
529,40.27,6.92
530,40.10,6.60
531,40.05,6.54
532,39.96,6.49
533,40.05,6.52
534,40.09,6.57
535,40.08,6.58
536,40.12,6.65
537,40.12,6.55
538,40.05,6.54
539,40.08,6.50
540,40.08,6.55
541,40.10,6.52
542,40.00,6.50
543,40.17,6.56
544,40.04,6.50
545,40.02,6.70
546,40.05,6.80
547,40.14,6.87
548,40.15,6.98
549,40.11,6.88
550,40.11,6.43
551,40.16,6.58
552,39.96,6.18
553,40.11,6.40
554,39.97,6.15
555,40.20,6.62
556,40.01,6.34
557,40.35,6.40
558,40.02,6.17
559,40.32,6.36
560,40.01,6.35
561,40.23,6.24
562,39.97,6.27
563,40.20,6.35
564,39.88,6.09
565,40.10,6.46
566,39.84,6.37
567,40.14,6.38
568,39.91,6.27
569,40.07,6.36
570,39.86,6.23
571,40.08,6.35
572,39.88,6.12
573,40.12,6.22
574,39.85,6.05
575,39.98,6.43
576,39.91,6.17
577,40.00,6.42
578,39.87,6.02
579,39.95,6.38
580,39.87,6.29
581,39.98,6.46
582,39.86,6.22
583,40.07,6.33
584,39.86,6.17
585,40.05,6.38
586,39.88,6.14
587,40.00,6.27
588,39.85,6.14
589,39.97,6.25
590,39.96,6.28
591,40.02,6.40
592,39.95,6.32
593,40.13,6.33
594,39.91,6.11
595,40.07,6.33
596,40.00,6.24
597,40.12,6.37
598,39.99,6.07
599,40.06,6.30
600,40.06,6.35
601,40.10,6.29
602,39.90,6.24
603,40.06,6.13
604,39.95,6.28
605,40.13,6.35
606,39.97,6.25
607,40.09,6.28
608,39.88,6.26
609,39.97,6.19
610,39.92,6.32
611,40.00,6.31
612,39.91,6.20
613,40.05,6.26
614,39.92,6.13
615,40.11,6.38
616,39.99,6.21
617,40.14,6.33
618,39.92,6.33
619,40.09,6.28
620,39.99,6.32
621,40.06,6.23
622,39.98,6.34
623,40.07,6.04
624,40.03,6.30
625,40.05,6.20
626,40.03,6.29
627,40.01,6.22
628,40.00,6.24
629,39.97,6.14
630,39.99,6.40
631,39.98,6.18
632,39.91,6.24
633,39.96,6.08
634,39.95,6.21
635,40.05,6.24
636,39.92,6.28
637,39.98,6.23
638,39.90,6.13
639,39.97,6.15
640,39.94,6.41
641,40.03,6.18
642,39.88,6.19
643,39.93,6.17
644,39.87,6.16
645,40.00,6.34
646,39.88,6.23
647,40.00,6.24
648,39.91,6.13
649,40.05,6.21
650,39.91,6.30
651,40.00,6.25
652,39.90,6.16
653,40.01,6.21
654,39.97,6.14
655,40.09,6.28
656,39.97,6.17
657,40.00,6.36
658,39.93,6.24
659,40.01,6.21
660,39.99,6.24
661,39.99,6.33
662,39.91,6.24
663,40.00,6.25
664,39.89,6.17
665,39.98,6.36
666,39.89,6.21
667,40.04,6.25
668,39.98,6.12
669,39.97,6.20
670,39.93,6.29
671,40.02,6.24
672,39.96,6.23
673,39.93,6.19
674,39.93,6.24
675,40.00,6.40
676,39.97,6.22
677,39.98,6.24
678,39.89,6.17
679,39.87,6.31
680,39.92,6.26
681,39.99,6.30
682,39.97,6.17
683,39.98,6.16
684,39.91,6.22
685,39.87,6.40
686,39.86,6.22
687,39.90,6.24
688,39.94,6.16
689,39.90,6.23
690,39.95,6.28
691,39.88,6.21
692,39.91,6.19
693,39.93,6.29
694,40.07,6.13
695,40.04,6.39
696,39.95,6.31
697,39.93,6.30
698,39.91,6.15
699,39.88,6.26
700,39.97,6.36
701,39.83,6.26
702,39.85,6.25
703,39.86,6.18
704,39.92,6.20
705,39.89,6.33
706,39.93,6.25
707,39.82,6.27
708,39.84,6.13
709,39.82,6.14
710,39.92,6.44
711,39.86,6.18
712,39.91,6.23
713,39.85,6.14
714,39.87,6.24
715,39.91,6.40
716,39.86,6.26
717,39.86,6.18
718,39.89,6.13
719,39.86,6.26
720,39.92,6.33
721,39.87,6.19
722,39.85,6.25
723,39.83,6.16
724,39.90,6.18
725,39.84,6.30
726,39.85,6.25
727,39.92,6.34
728,39.92,6.16
729,40.08,7.05
730,40.03,7.34
731,40.17,7.33
732,40.55,7.76
733,40.41,7.25
734,40.94,7.89
735,40.76,7.76
736,41.04,8.05
737,40.99,7.98
738,40.54,7.54
739,40.55,7.72
740,40.28,7.46
741,40.40,7.67
742,40.30,7.46
743,40.18,7.28
744,40.11,7.18
745,40.12,7.22
746,40.05,7.20
747,40.02,7.21
748,40.02,7.11
749,39.88,7.23
750,39.99,7.18
751,40.24,7.58
752,40.50,7.75
753,40.30,7.47
754,40.48,7.61
755,40.49,7.59
756,40.40,7.48
757,40.39,7.30
758,40.42,7.41
759,40.23,7.29
760,40.39,7.40
761,40.32,7.38
762,40.31,7.41
763,40.36,7.69
764,40.25,7.66
765,40.26,7.78
766,40.24,7.81
767,40.20,7.80
768,40.21,7.57
769,40.08,7.46
770,40.29,7.37
771,40.25,7.36
772,40.35,7.47
773,40.56,7.59
774,40.47,7.47
775,40.81,7.83
776,41.05,8.02
777,41.38,8.35
778,41.71,8.66
779,41.50,8.43
780,41.57,8.55
781,41.64,8.64
782,41.56,8.54
783,41.65,8.60
784,41.59,8.54
785,41.59,8.53
786,41.67,8.51
